,Episodes,Loss
0,1.0,4298.271807229694
1,2.0,4298.271807229694
2,3.0,4277.295234947792
3,4.0,4144.541869478467
4,5.0,4114.4095281929685
5,6.0,4114.4095281929685
6,7.0,4066.830023120341
7,8.0,4066.830023120341
8,9.0,4055.9482748410846
9,10.0,4055.9482748410846
10,11.0,4042.8561240309427
11,12.0,4042.8561240309427
12,13.0,4041.1531912345954
13,14.0,4061.1357901659294
14,15.0,4041.065322704939
15,16.0,4040.981349271623
16,17.0,4039.405277376074
17,18.0,4062.061793362244
18,19.0,4039.3991711952826
19,20.0,4039.3931397991983
20,21.0,4063.7593307049333
21,22.0,4039.3931397991983
22,23.0,4039.3931397991983
23,24.0,4123.171708659007
24,25.0,4048.858979047154
25,26.0,4037.523910767462
26,27.0,4022.587894363673
27,28.0,4022.587894363673
28,29.0,4022.9934011828987
29,30.0,4022.373583842707
30,31.0,4023.2165985916376
31,32.0,4022.310850163254
32,33.0,4023.360555496251
33,34.0,4022.286666640787
34,35.0,4020.1475571304086
35,36.0,4023.4872526651607
36,37.0,4020.145212656884
37,38.0,4023.5297755600654
38,39.0,4020.144210996323
39,40.0,4020.049606619268
40,41.0,4020.049606619268
41,42.0,4073.445510095254
42,43.0,4020.042858159741
43,44.0,4020.032869734852
44,45.0,4020.032869734852
45,46.0,4119.24533818462
46,47.0,4029.8327219571493
47,48.0,4022.901630802308
48,49.0,4020.0174199723333
49,50.0,4023.0411415039653
50,51.0,4020.0110013709477
51,52.0,4020.004862725721
52,53.0,4023.2798880280907
53,54.0,4020.0034301694486
54,55.0,4023.3586297364327
55,56.0,4020.002820938948
56,57.0,4023.410191628097
57,58.0,4020.00255961627
58,59.0,4019.9566310017244
59,60.0,4023.421709504231
60,61.0,4019.956619584376
61,62.0,4023.429306930101
62,63.0,4019.9566146218212
63,64.0,4023.4343193308237
64,65.0,4023.4343193308237
65,66.0,4095.541334211223
66,67.0,4062.6433447707914
67,68.0,4023.4840719480035
68,69.0,4020.0321201625184
69,70.0,4023.5063479423807
70,71.0,4020.0317969026532
71,72.0,4023.5209772350913
72,73.0,4020.0316570725563
73,74.0,4023.53082553312
74,75.0,4020.0315964378688
75,76.0,4023.537334780828
76,77.0,4020.031570102143
77,78.0,4023.5416287920816
78,79.0,4020.0315586522497
79,80.0,4023.5444619297286
80,81.0,4020.0315536709622
81,82.0,4020.027870097521
82,83.0,4023.545659570006
83,84.0,4020.027869208358
