,Episodes,Loss
0,1.0,4836.795909020242
1,2.0,4836.795909020242
2,3.0,4412.254801574554
3,4.0,4187.441346558575
4,5.0,4085.488210799748
5,6.0,4057.2170287736158
6,7.0,4029.0774047681934
7,8.0,4029.0774047681934
8,9.0,4089.896878550769
9,10.0,4029.0218355967745
10,11.0,4025.6455512750076
11,12.0,4025.6393616833207
12,13.0,4088.9233457726264
13,14.0,4025.636641154771
14,15.0,4025.6339272191963
15,16.0,4025.3746108386695
16,17.0,4024.8027221084258
17,18.0,4024.8027221084258
18,19.0,4092.8581816998053
19,20.0,4024.7704659525193
20,21.0,4091.5792537440316
21,22.0,4024.7563441689567
22,23.0,4090.517916772453
23,24.0,4024.750164142046
24,25.0,4090.1508629315967
25,26.0,4024.747474869533
26,27.0,4089.9095187014964
27,28.0,4024.7463035655014
28,29.0,4089.5379624175935
29,30.0,4024.7457918215614
30,31.0,4089.4184134829907
31,32.0,4024.74556889981
32,33.0,4088.978624549896
33,34.0,4024.7454712476265
34,35.0,4088.929105813952
35,36.0,4024.7454287094547
36,37.0,4088.896099396784
37,38.0,4088.896099396784
38,39.0,4047.1217560560362
39,40.0,4049.198545034663
40,41.0,4048.945380567187
41,42.0,4024.8008483620965
42,43.0,4048.935082104071
43,44.0,4024.8000343459184
44,45.0,4048.966293956106
45,46.0,4024.799680885466
46,47.0,4024.649938316103
47,48.0,4024.649897522383
48,49.0,4048.9731766614896
49,50.0,4024.6498797652052
50,51.0,4024.635102040598
51,52.0,4024.61703464095
52,53.0,4024.61703464095
53,54.0,4047.149848423475
54,55.0,4049.2008806314393
55,56.0,4049.0100018240705
56,57.0,4024.6151946336736
57,58.0,4048.9440430014147
58,59.0,4024.6143933662433
59,60.0,4048.9725684140285
60,61.0,4024.614045414484
61,62.0,4048.9376748205814
62,63.0,4024.613893829785
63,64.0,4048.951300823157
64,65.0,4024.6138278902545
65,66.0,4048.9600991725442
66,67.0,4024.6137991925766
67,68.0,4048.965868073715
68,69.0,4024.6137866992954
69,70.0,4048.969675569014
70,71.0,4024.613781259351
71,72.0,4048.9721875812684
