,Episodes,Loss
0,1.0,9113.649036776844
1,2.0,7165.322433239669
2,3.0,7212.536836385277
3,4.0,7312.495415064162
4,5.0,7162.454602016543
5,6.0,7163.999595468862
6,7.0,7162.5837119702455
7,8.0,7162.454602016543
8,9.0,7163.978874798775
9,10.0,7162.584962673538
10,11.0,7162.438047188025
11,12.0,7162.466484642043
12,13.0,7162.429042084967
13,14.0,7162.390999489779
14,15.0,7162.432535010377
15,16.0,7162.390465822524
16,17.0,7162.4109461917
17,18.0,7162.39005601902
18,19.0,7162.418138651314
19,20.0,7162.39005601902
20,21.0,6883.21371146196
21,22.0,6883.21371146196
22,23.0,6856.748791164428
23,24.0,6878.706218969529
24,25.0,6855.896874042081
25,26.0,6855.896874042081
26,27.0,6873.393186756193
27,28.0,6855.828294660424
28,29.0,6856.206554691364
29,30.0,6855.825021507787
30,31.0,6856.004237917604
31,32.0,6855.975415472223
32,33.0,6855.825021507787
33,34.0,6856.509443603082
34,35.0,6855.9904372004285
35,36.0,6855.977956980685
36,37.0,6855.8250215078915
37,38.0,6855.825021501571
38,39.0,6855.825021503934
39,40.0,6855.825021501571
