,Episodes,Loss
0,1.0,4452.20703875043
1,2.0,4452.20703875043
2,3.0,4125.7029172566545
3,4.0,4083.700168125789
4,5.0,4031.9415985804617
5,6.0,4198.5847482210365
6,7.0,4030.0469754735723
7,8.0,3934.3666086486282
8,9.0,3862.8484197556295
9,10.0,3764.805861098561
10,11.0,3847.992509552431
11,12.0,3756.721709335503
12,13.0,3824.229663060696
13,14.0,3753.598052442464
14,15.0,3750.6142830218646
15,16.0,3742.2829033642483
16,17.0,3735.7864769109597
17,18.0,3735.7454445684757
18,19.0,3825.249597260071
19,20.0,3735.7454445684757
20,21.0,3860.2554682139694
21,22.0,3821.6145460050766
22,23.0,3735.699415085835
23,24.0,3820.9889529700054
24,25.0,3735.6792749132214
25,26.0,3825.8541643662757
26,27.0,3735.6710481013365
27,28.0,3734.7824002608045
28,29.0,3734.7794955807894
29,30.0,3734.4682993507226
30,31.0,3826.1312340240966
31,32.0,3734.4679056837344
32,33.0,3734.4576181071056
33,34.0,3734.2003730418987
34,35.0,3733.978756691705
35,36.0,3865.1279065554095
36,37.0,3857.9726778025124
37,38.0,3826.1033631349546
38,39.0,3733.9787172653523
39,40.0,3733.9734830110924
40,41.0,3826.137900858361
41,42.0,3733.9734738449356
42,43.0,3733.9722763239847
43,44.0,3826.1548781993397
44,45.0,3733.972274109319
45,46.0,3733.9719852240833
46,47.0,3733.9546294042007
47,48.0,3733.943174932993
48,49.0,3733.939280479816
49,50.0,3733.939280479816
50,51.0,3851.945010961626
51,52.0,3812.922284218062
52,53.0,3825.652526757903
53,54.0,3826.1545934247292
54,55.0,3733.9392804666586
55,56.0,3733.937499623517
56,57.0,3733.9368941377966
57,58.0,3826.1546428628703
58,59.0,3733.9368941377966
59,60.0,3733.9368941377966
60,61.0,3869.5104445297925
61,62.0,3858.229080119407
62,63.0,3826.052865764732
63,64.0,3826.154697192632
64,65.0,3733.936894137782
65,66.0,3826.1547113496576
66,67.0,3733.9368941377775
67,68.0,3733.936894137769
68,69.0,3733.936864306561
69,70.0,3826.1547160214723
70,71.0,3733.9368643065595
71,72.0,3733.93686430656
72,73.0,3733.9368643065595
73,74.0,3733.9368643065595
74,75.0,3872.0205312378816
75,76.0,3859.6512960634113
76,77.0,3826.1140112490407
77,78.0,3733.936849982402
78,79.0,3826.1535548568963
79,80.0,3733.9368499706957
80,81.0,3733.9368494880796
81,82.0,3826.1541365887615
82,83.0,3733.9368494851524
83,84.0,3733.9368494419264
84,85.0,3826.154427441831
85,86.0,3733.9368494411947
86,87.0,3733.936849429671
87,88.0,3826.154572864987
88,89.0,3733.9368494294845
89,90.0,3733.9368494290416
90,91.0,3826.1546455762796
91,92.0,3733.936849428995
92,93.0,3733.936849428865
93,94.0,3733.936849428865
94,95.0,3926.698030470294
95,96.0,3845.2591402366365
96,97.0,3822.9238552796337
97,98.0,3826.1190277751057
98,99.0,3733.936854381612
99,100.0,3826.153989955895
100,101.0,3733.9368543774563
101,102.0,3733.936854286697
102,103.0,3826.1543551105706
103,104.0,3733.93685428566
104,105.0,3826.154479262626
105,106.0,3733.9368542852067
106,107.0,3733.936854281518
107,108.0,3826.154599761982
108,109.0,3733.936854281405
109,110.0,3733.936854280149
110,111.0,3826.1546600112633
111,112.0,3733.936854280121
112,113.0,3733.9368542800917
