,Episodes,Loss
0,1.0,3888.4775429553592
1,2.0,3888.4775429553592
2,3.0,3839.772434769908
3,4.0,3835.3142801741315
4,5.0,3835.3142801741315
5,6.0,3912.1376916244
6,7.0,3864.503812519214
7,8.0,3835.302072525805
8,9.0,3849.6523095308444
9,10.0,3835.291547369625
10,11.0,3850.3671944863127
11,12.0,3835.2872218686407
12,13.0,3850.4870114327687
13,14.0,3835.285366601213
14,15.0,3850.575855498045
15,16.0,3835.2845647627587
16,17.0,3850.6305351920973
17,18.0,3835.284217196902
18,19.0,3850.6634836516964
19,20.0,3835.2840663035086
20,21.0,3835.232074802856
21,22.0,3835.232025513961
22,23.0,3835.2154975072553
23,24.0,3850.6774227450737
24,25.0,3850.6774227450737
25,26.0,3914.9535646629383
26,27.0,3850.21351513119
27,28.0,3835.306405880154
28,29.0,3850.403560452791
29,30.0,3835.303035065297
30,31.0,3850.5233998868716
31,32.0,3835.3015827231907
32,33.0,3850.597088682225
33,34.0,3835.3009546261596
34,35.0,3835.1934495815053
35,36.0,3835.193255857664
36,37.0,3835.1609940053545
37,38.0,3850.6268528172363
38,39.0,3835.1609662032224
39,40.0,3835.1564076643867
40,41.0,3835.1332802775305
41,42.0,3835.1180050478833
42,43.0,3835.1180050478833
43,44.0,3968.7787378452263
44,45.0,3807.780328017018
45,46.0,3807.6955647355867
46,47.0,3970.8833334934425
47,48.0,3929.217019405424
48,49.0,3807.6433153490566
49,50.0,3887.5566621624375
50,51.0,3807.6116123725624
51,52.0,3868.5338688378233
52,53.0,3807.596197173824
53,54.0,3869.2422003715287
54,55.0,3807.592526011336
55,56.0,3807.306586429415
56,57.0,3806.845814221898
57,58.0,3869.3368578999844
58,59.0,3806.845747632429
59,60.0,3869.399196837302
60,61.0,3806.845642683976
61,62.0,3806.845374416424
62,63.0,3806.7450819208875
63,64.0,3924.66668754307
64,65.0,3971.8944937037127
65,66.0,3913.7642660017855
66,67.0,3806.6696769262862
67,68.0,3869.3830402822705
68,69.0,3806.672189786694
69,70.0,3806.6696769262862
70,71.0,3806.6696769262862
71,72.0,3916.448271322214
72,73.0,3929.3312429478015
73,74.0,3869.3971975648606
74,75.0,3806.671161355044
75,76.0,3806.669676923515
76,77.0,3806.6723390501825
77,78.0,3806.669676922841
78,79.0,3806.6723407759814
79,80.0,3806.669676922549
80,81.0,3806.6718637887893
81,82.0,3806.669676922392
82,83.0,3806.669676921566
83,84.0,3806.6722028957756
84,85.0,3806.6696769215305
85,86.0,3806.6696769214864
86,87.0,3806.672343070686
87,88.0,3806.6696769214786
88,89.0,3806.669676921471
89,90.0,3806.6723410141244
90,91.0,3806.6723410141244
91,92.0,3899.7953406171428
92,93.0,3858.701093792227
93,94.0,3868.6920488399114
94,95.0,3806.6582903869507
95,96.0,3806.645035925227
96,97.0,3869.063461576863
97,98.0,3806.641491596224
98,99.0,3806.6374093631543
99,100.0,3806.3617420827386
100,101.0,3869.1264511823724
101,102.0,3806.361444397421
102,103.0,3806.3611472389757
103,104.0,3869.183952158346
104,105.0,3806.361073024329
105,106.0,3806.360998875395
106,107.0,3869.2123248366433
107,108.0,3806.360980347827
108,109.0,3806.360961828463
109,110.0,3806.3199868838565
