,box_x,box_y,size_a,size_b,size_c,diffhand_loss,diffhand_flip,diffhand_t,model_loss,model_flip,model_t
0,22.149,-2.14,8.1,4.785,4.708,4232.8515171118415,73.96312325603047,27.539,3766.406090486107,73.73369252830302,17.178
1,17.976,-2.461,3.207,6.258,4.896,4187.7025964005115,72.71101093626014,11.207,850.046018397749,13.451066856495764,22.103
2,-22.652,3.348,3.547,7.091,4.013,6817.675232962795,34.53976478949,13.119,5500.926087205594,23.360867058373508,12.586
3,-11.667,-3.23,6.81,6.126,3.442,5022.969029579954,69.86941329657478,16.41,4491.946933746289,73.58015983633229,23.828
4,-23.435,-1.944,4.757,5.096,8.661,5743.271595421304,25.79766005700373,45.544,5954.390831734947,29.977461680419268,14.39
5,15.646,-3.201,3.535,5.079,6.015,955.1421365421642,15.521420684383228,59.389,862.1035020319902,11.336903689672749,22.632
6,-2.492,4.456,2.853,5.353,2.483,1399.2591081403173,11.759382740058221,26.069,1355.4678510514661,15.871662363564088,26.022
7,2.643,0.37,2.498,3.646,5.8,766.4689965255234,9.21255921949805,20.224,1162.4903234250462,14.784409866569321,35.966
8,3.764,4.974,7.468,3.085,5.634,3896.4218169092946,74.1099568532727,24.017,3897.0480614636504,72.21327286099375,38.876
9,1.966,-2.861,3.79,8.828,5.391,935.8060789799418,12.529839786266981,26.605,765.0426715448123,12.207685177789799,44.336
10,8.42,-3.199,4.563,3.204,4.451,4021.938313838768,74.08828609552876,10.892,3806.049564603423,72.91387701724838,21.628
11,4.774,3.386,4.971,3.669,2.295,3823.6125339415767,63.52301927539659,23.352,3853.284661801362,72.25182033185598,18.756
12,-1.436,0.147,7.329,4.625,6.122,1257.5387076922013,16.33563326919567,27.567,1233.7502870617495,18.442896994524517,9.997
13,15.04,-4.99,7.139,8.438,4.01,4254.919757152195,74.17953869349628,32.683,4180.402791119917,73.16764907978194,27.36
14,-22.71,4.146,7.563,6.613,4.09,7221.796534871141,68.45180735984319,20.048,6380.996024568194,63.222386229603956,13.979
15,16.256,1.295,4.525,3.087,2.831,1666.8141102678208,28.904914673353954,30.178,2347.281466779465,43.80744725434388,44.052
16,-19.001,3.863,5.625,8.377,4.706,4402.8443569513365,26.240678430009417,14.785,3472.4592329946454,22.53448927698759,57.031
17,8.628,4.11,4.331,2.536,6.458,3913.9655793160373,73.48979847757757,20.17,4117.869545209968,73.74716253370322,11.99
18,-19.742,4.41,4.036,4.406,6.711,5739.517831186728,28.998802397576995,12.746,4139.514157039391,22.001334299678813,34.979
19,-16.678,-3.415,6.778,6.361,6.709,6214.521600255123,65.35703840017625,10.059,5112.354212279894,57.24901218762221,6.848
20,-12.435,1.0,6.508,6.666,3.724,5265.6635084558275,72.75104114777984,46.092,4596.472897861238,71.95462737452836,9.883
21,21.514,1.748,2.226,7.977,3.524,3917.0185423580288,74.24505257508656,9.324,877.4221044016565,12.26105058696577,33.529
22,-8.026,-4.109,4.769,5.55,3.678,2865.4232153913395,22.573650681414183,26.775,1465.1783742485322,14.621678403079985,40.826
23,9.601,-0.23,3.374,7.58,7.173,994.0996654455323,16.005627198954315,8.763,742.5132338198541,11.549253798011224,21.615
24,-0.155,1.773,7.232,6.572,4.329,3994.150611789266,72.6333148829259,12.23,3830.552138795294,74.1768433660576,26.304
25,-7.867,-3.17,4.425,8.392,7.625,2081.7249678703074,16.128392103795605,19.968,1680.483075250838,17.33542012068286,43.339
26,-5.103,2.804,8.554,5.348,8.835,1319.7880971638767,16.724955280864492,34.482,2399.5604712209165,35.35571810391506,32.008
27,13.096,-0.234,5.019,5.702,7.895,983.2996768746847,17.202319547910335,33.218,703.1620423467812,10.41894153846819,16.484
28,12.279,0.398,7.287,2.826,7.328,1103.0476098086,18.751083627904602,34.903,740.7338148234519,12.042922508005573,40.192
29,-20.714,-4.342,5.524,2.416,3.527,4354.272247658985,20.950175963055873,41.033,6062.064238154122,73.09992442910762,26.31
30,-23.363,-3.18,3.224,5.614,6.755,7411.82837694296,31.938607962512886,22.685,5887.329653286469,26.79989584396181,26.485
31,10.767,-0.182,4.667,8.215,7.197,1145.027119692654,19.63766907538572,15.806,580.475032267103,9.895294098954295,98.547
32,-10.822,0.016,2.993,2.121,4.303,3394.401126467132,25.225668958366448,21.953,1597.3162904736803,13.625410012997005,19.169
33,4.901,-2.072,7.929,7.252,3.916,3774.451726184732,72.59562622262779,33.346,3759.4474804782485,73.16380031324496,14.158
34,12.523,1.637,7.098,5.385,5.32,2902.394359171779,55.838331314883284,24.736,1062.3235362528496,17.041578450905064,43.183
35,-5.567,3.457,4.123,4.36,7.176,2114.6999302757395,18.81892393781712,28.005,1840.126526886067,16.926053435030088,12.512
36,17.446,-0.41,4.753,6.403,8.582,1687.324234170205,30.818596145844285,41.783,1713.7434618264542,16.927275121355017,8.556
37,20.465,-3.591,4.163,6.781,5.378,3791.396676123983,72.08262962851367,18.4,1040.7300014174257,14.90071484571413,25.368
