,Episodes,Loss
0,1.0,4902.755899077843
1,2.0,4902.755899077843
2,3.0,4266.755602464605
3,4.0,4266.755602464605
4,5.0,4349.084130305374
5,6.0,4307.84543170359
6,7.0,4161.1071855147275
7,8.0,4154.713078203827
8,9.0,4245.922693562313
9,10.0,2078.2596194848784
10,11.0,2078.2596194848784
11,12.0,2070.661020371606
12,13.0,2070.661020371606
13,14.0,2069.391570313659
14,15.0,2069.391570313659
15,16.0,2067.436386713729
16,17.0,2095.2977563988
17,18.0,2056.120411039994
18,19.0,2051.026550142605
19,20.0,2097.928500929555
20,21.0,2050.7675538595677
21,22.0,2109.3193282732377
22,23.0,2050.678766529665
23,24.0,2045.8563329428491
24,25.0,2045.8319507142078
25,26.0,2045.807696744756
26,27.0,2044.914344332436
27,28.0,2075.867836713324
28,29.0,2093.602480327638
29,30.0,2044.8557552172078
30,31.0,2044.7989193224832
31,32.0,2100.486697775668
32,33.0,2044.78638445857
33,34.0,2108.259904519943
34,35.0,2044.7816895729416
35,36.0,2110.026344985664
36,37.0,2044.7796785271928
37,38.0,2044.2687982191844
38,39.0,2039.4177495643462
39,40.0,2097.926672192367
40,41.0,2043.0605611672322
41,42.0,2033.8475355269168
42,43.0,2082.1318430864503
43,44.0,2032.5754179751395
44,45.0,2075.731287147566
45,46.0,2095.1336104461475
46,47.0,2032.5336933696908
47,48.0,2032.8471847903052
48,49.0,2032.5425824840106
49,50.0,2032.5336933696908
50,51.0,2075.5000320022427
51,52.0,2095.462084193914
52,53.0,2032.8634705863901
53,54.0,2032.5430301012057
54,55.0,2032.533759873596
55,56.0,2032.533681566775
56,57.0,2032.5336765822442
57,58.0,2032.5336740920463
58,59.0,2032.53367978366
59,60.0,2032.5336691378384
60,61.0,2032.533667105965
61,62.0,2032.5336666637584
62,63.0,2032.533666372108
63,64.0,2032.5336681738054
64,65.0,2032.533666372108
65,66.0,2075.499875280297
66,67.0,2095.4620536175094
67,68.0,2032.8636923618656
68,69.0,2032.5432203307055
69,70.0,2032.5339488829557
70,71.0,2032.5336659246211
71,72.0,2032.5336662202337
72,73.0,2032.5336654729604
73,74.0,2032.533665297919
74,75.0,2032.5336652745186
75,76.0,2032.533665259465
76,77.0,2032.53366534231
77,78.0,2032.533665259465
