,Episodes,Loss
0,1.0,14962.305426362613
1,2.0,10015.002148448939
2,3.0,4716.147839203422
3,4.0,4716.147839203422
4,5.0,4696.758567298689
5,6.0,4696.758567298689
6,7.0,4693.190722290506
7,8.0,4154.762597945766
8,9.0,4154.762597945766
9,10.0,3584.497819955216
10,11.0,3584.497819955216
11,12.0,3675.0553845016157
12,13.0,3584.944678978626
13,14.0,3583.270887801368
14,15.0,3583.270887801368
15,16.0,3552.0786058246076
16,17.0,3464.731387048216
17,18.0,3218.641097773145
18,19.0,3260.182713650446
19,20.0,3246.2539874537365
20,21.0,3219.3881021520265
21,22.0,3218.280286074528
22,23.0,3254.675568703156
23,24.0,3217.9461697104834
24,25.0,3212.8031877807944
25,26.0,3183.84850845916
26,27.0,3085.7667085883527
27,28.0,3082.374555219231
28,29.0,3036.8751589743047
29,30.0,2980.172825614015
30,31.0,2924.251353410383
31,32.0,2856.764718530884
32,33.0,2856.764718530884
33,34.0,2938.219997093727
34,35.0,2877.1039213832137
35,36.0,2870.882163959049
36,37.0,2849.2010714786365
37,38.0,2873.0357254401197
38,39.0,2845.6798361036044
39,40.0,2845.284859313983
40,41.0,2858.8760390336006
41,42.0,2860.2667008973535
42,43.0,2845.282623461762
43,44.0,2845.248294800586
44,45.0,2860.923200841589
45,46.0,2845.2478410397807
46,47.0,2845.2298550702394
47,48.0,2845.137780120339
48,49.0,2861.747755331239
49,50.0,2845.1377452109664
50,51.0,2845.137216573806
51,52.0,2845.593594220672
52,53.0,2845.136923994225
53,54.0,2845.1325044253877
54,55.0,2845.116822472539
55,56.0,2861.4293121756095
56,57.0,2859.466178684803
57,58.0,2845.109251189002
58,59.0,2860.6296385846454
59,60.0,2845.10857655425
60,61.0,2845.5809500261503
61,62.0,2845.1083853659543
62,63.0,2845.599842688196
63,64.0,2845.6079610805277
64,65.0,2845.1083853659543
65,66.0,2860.4491559283683
66,67.0,2860.076617208949
67,68.0,2845.6028032741146
68,69.0,2845.1083772267607
69,70.0,2845.6077107060623
70,71.0,2845.108377206225
71,72.0,2845.108376372125
72,73.0,2845.6078404079044
73,74.0,2845.108376367027
74,75.0,2845.6078845049983
75,76.0,2845.1083763648053
76,77.0,2845.1083763311403
77,78.0,2845.6079272864113
78,79.0,2845.108376330585
79,80.0,2845.1083763242295
80,81.0,2845.1083559377726
81,82.0,2845.607934558023
82,83.0,2845.1083559377053
83,84.0,2845.108355937664
84,85.0,2845.60794161572
85,86.0,2845.60794161572
86,87.0,2777.170101998107
87,88.0,2722.3477595690592
88,89.0,2519.3073985690976
89,90.0,2466.7112766225705
90,91.0,2466.7112766225705
91,92.0,2464.9588606325397
92,93.0,2450.730436724482
93,94.0,2406.9147641292784
94,95.0,2438.4895987638606
95,96.0,2415.80064118326
96,97.0,2408.2351442112003
97,98.0,2406.848479857736
98,99.0,2406.774098913742
99,100.0,2408.421551299778
100,101.0,2406.7585179298644
101,102.0,2406.489760261862
102,103.0,2406.3993706423516
103,104.0,2459.719745270026
104,105.0,2407.522836708325
105,106.0,2408.2776534540003
106,107.0,2406.3913240421994
107,108.0,2408.3212378356407
108,109.0,2406.388016551598
109,110.0,2408.3624670344843
110,111.0,2406.3866195199757
111,112.0,2408.389518224245
112,113.0,2406.3860228952435
113,114.0,2408.407303295611
114,115.0,2406.3857663188946
115,116.0,2408.41901179344
116,117.0,2406.3856554860904
117,118.0,2408.4267265661897
118,119.0,2406.3856074713835
119,120.0,2406.369055607201
120,121.0,2406.3690494970974
121,122.0,2408.428454254619
122,123.0,2406.3690468388663
123,124.0,2406.3690468388663
124,125.0,2425.1199088753315
125,126.0,2406.849621792348
126,127.0,2406.1896974301203
127,128.0,2404.1695746557384
128,129.0,2417.3735652719433
129,130.0,2408.6554655603113
130,131.0,2403.7839691414697
131,132.0,2404.9019641320165
132,133.0,2403.129571370994
133,134.0,2402.930970249824
134,135.0,2407.623342398896
135,136.0,2403.1834259523084
136,137.0,2402.885210325004
137,138.0,2404.0937707206444
