,Episodes,Loss
0,1.0,9725.24845941125
1,2.0,5912.597870958499
2,3.0,4715.800151973639
3,4.0,4540.769680134271
4,5.0,4663.097223637147
5,6.0,4669.324411170202
6,7.0,4685.757370050173
7,8.0,4684.119148500312
8,9.0,4665.725409484993
9,10.0,4662.723036830171
10,11.0,4662.929654421097
11,12.0,4662.6465774089165
12,13.0,4662.63913971276
13,14.0,4651.62020048739
14,15.0,4502.440342888081
15,16.0,4357.719637279412
16,17.0,4396.5350536245105
17,18.0,4409.557726393946
18,19.0,4378.7494838409775
19,20.0,4433.960185995288
20,21.0,4265.496485300866
21,22.0,4350.082668223427
22,23.0,4265.431253376432
23,24.0,4265.089471731827
24,25.0,4245.0334057194805
25,26.0,4427.749128432516
26,27.0,4349.50726896208
27,28.0,4244.980789601082
28,29.0,4244.928861389368
29,30.0,4337.444858155585
30,31.0,4244.909281827665
31,32.0,4244.889957967056
32,33.0,4284.280221047009
33,34.0,4244.882098427584
34,35.0,4244.874311593696
35,36.0,4244.057992801218
36,37.0,4244.055012535205
37,38.0,4243.368693666818
38,39.0,4243.368009202082
39,40.0,4285.51813731229
40,41.0,4243.3677168966215
41,42.0,4286.423753328267
42,43.0,4243.3677168966215
43,44.0,4243.3677168966215
44,45.0,4350.9121926197995
45,46.0,4285.774340032804
46,47.0,4243.367506614921
47,48.0,4286.586700283955
48,49.0,4243.367416082026
49,50.0,4287.072617978263
50,51.0,4243.367376958402
51,52.0,4243.300146949949
52,53.0,4243.277793313838
53,54.0,4243.270195862681
54,55.0,4271.453944408151
55,56.0,4278.448128205387
56,57.0,4328.428206074219
57,58.0,4287.009536163069
58,59.0,4243.270195803297
59,60.0,4243.270192010237
60,61.0,4287.059559864055
61,62.0,4243.27019199541
62,63.0,4243.270191845281
63,64.0,4243.269205624212
64,65.0,4287.068063240031
65,66.0,4243.2692056225915
66,67.0,4243.269205614394
67,68.0,4287.076316408153
68,69.0,4243.269205613985
69,70.0,4243.269205612864
70,71.0,4243.269042892478
71,72.0,4287.077719441618
72,73.0,4243.269042892478
73,74.0,4433.217327725844
74,75.0,4312.509705946611
75,76.0,4286.871742321694
76,77.0,4243.2690428108845
77,78.0,4243.26903403284
78,79.0,4286.97589518274
79,80.0,4243.269034012547
80,81.0,4243.269033455109
81,82.0,4287.02795672093
82,83.0,4243.269033450036
83,84.0,4243.269033399027
84,85.0,4287.05398576336
85,86.0,4243.269033397758
86,87.0,4243.26903338769
87,88.0,4287.066999914705
88,89.0,4243.269033387377
89,90.0,4287.071424703392
90,91.0,4243.269033387248
91,92.0,4287.074345057339
92,93.0,4243.269033387174
93,94.0,4243.269033387174
94,95.0,4360.350035688363
95,96.0,4325.1622449150445
96,97.0,4324.80074586431
97,98.0,4326.361433882513
98,99.0,4287.037613977238
99,100.0,4243.269042683372
100,101.0,4287.052174918346
101,102.0,4243.269042592294
102,103.0,4243.269039564207
103,104.0,4287.066299085452
104,105.0,4243.269039541471
105,106.0,4243.269038668031
106,107.0,4287.073358765003
107,108.0,4243.269038662353
108,109.0,4287.075759072644
109,110.0,4243.26903865989
110,111.0,4287.077343278583
111,112.0,4243.269038658798
112,113.0,4243.269038655452
